"GC","HDL","IFNb","IFNg","IFNg_TNF","IL10","IL13","IL4","IL4_upLPS","LA","LiA","OA","P3C","P3C_PGE2","PA","PGE2","SA","TNF","TNF_P3C","TNF_PGE2","TPP","TPP_IFNb","TPP_IFNb_IFNg","sLPS","sLPS_IC","sLPS_IFNg","upLPS","upLPS_IC"
"Ablim3","Fgfr1","1700028P14Rik","Slc6a12","Cd82","Rbp1","Xpnpep2","Itpripl1","Nfs1","Slc5a6","Impad1","Ebna1bp2","Met","Tfrc","Gnl3","Slc25a20","Mgst1","Slc9a1","Usp13","Ccl5","Matk","Gramd1a","Adora2a","Fjx1","Epb41l3","Irf1","Cldn15","Glul"
"Flrt2","Abcd4","Grp","Rhbdf2","Eno2","Fcgr1","Gm23971","Il1r2","Batf3","Ptprm","Wdr4","Phldb1","Brpf3","Epas1","St6galnac4","Il18rap","Mreg","Slc3a2","Mrps6","Slc9a1","Mettl1","Fjx1","Slc5a3","Pde4d","Ptprf","Rhbdf2","Lat","Tpst1"
"Man1a","Vps13c","Srpx","Parp14","Rhbdd1","Vegfb","Rab40b","Duox1","Cd209d","Slc22a4","Paics","Tgm2","Igfbp4","Rapgef1","Mybph","Epas1","Dpysl3","Lat","Npsr1","Slc3a2","Cd82","Slc25a28","Vegfa","Fpr2","Ets2","Fbxl20","Slamf9","Arhgap12"
"Dact1","Plekha1","Gm13101","Itgb7","Zswim4","Rilpl1","Crh","Ramp1","Abcb4","Prmt5","Mrto4","Paics","Tnip3","Mamld1","Tgm2","Csf2","Marcksl1","Rasgrp1","Crispld2","Cd82","Ptpn1","Hif1a","Mrps6","Ereg","Thbs4","Stat4","Phf13","Cd38"
"She","Mrap","Padi4","Jak2","Terf2ip","Nrp2","Nmd3","Syt17","Duox1","Slc16a3","Slc16a3","Dph2","Vmo1","Prdm8","Dpysl3","Cables1","Psma6","Mtf1","A4galt","C1s2","Tnip1","Rhbdf2","Stat4","Hey1","Cxcl5","Sod2","Slc5a3","Kitl"
"Alox8","Atxn3","Zfp667","Snx10","Kctd13","Pcolce2","Socs1","Sox8","Slamf1","Anpep","Plxna1","Anpep","Ccl9","Pde4b","Il1rn","Rasd2","Traf3ip2","Gm20547","Mast4","Panx2","Mrps6","Tnfaip6","Traf3ip2","Stat4","Cldnd2","Il2ra","Slc3a2","Mrps6"
"Pik3ip1","Ubn2","Snora33","Muc1","Cnih4","Pip","Itpripl1","Epn2","Sult1c2","Spats2l","Tomm40","Ptprm","Arnt2","Antxr2","Srprb","Runx3","Hyou1","Tmem132a","Myo1b","Snx10","Slc5a3","A4galt","Hivep1","Tfpi","Ptpn1","Il6","Adamdec1","Timp1"
"Pon2","Pum1","Phlpp2","Ascl2","Gpc4","Prkrip1","AU022252","Wnt5b","Hopx","Gna12","Tgm2","Plin2","Map3k8","Pgs1","Slc7a11","Tfrc","Gnl3","Zfp281","Srgn","Stom","Cttn","Cyp26a1","Tnfrsf9","Sod2","Yod1","Papolg","Cflar","Pdk4"
"Tcn2","Whamm","Pcdhb3","Gm20547","Scarf1","Gprin3","Cdr2l","Dtna","Il1r2","Gpatch4","Fabp5","Gpatch4","Ppbp","Pip","Mmp9","Stmn1","Tfrc","Ptpn1","Lamb3","Parp14","Traf3ip2","Slc5a3","Panx2","Prdm8","Stat4","Ptpn1","Trem1","Chst15"
"Serpinf1","Opa3","St8sia6","Cd38","Slco4a1","Apoc1","Rab33a","Dhrs2","Chn2","Pdlim7","Bola2","Mrpl14","Cd209d","Col23a1","Bex2","Pgs1","Plxna1","Tnfaip6","Gtpbp4","Scarf1","Mitf","Stat4","Tnnt2","Fth1","Slc43a2","Vegfa","Cldnd2","Fam187b"
