GC,HDL,IFNb,IFNg,IFNg_TNF,IL10,IL13,IL4,IL4_upLPS,LA,LiA,OA,P3C,P3C_PGE2,PA,PGE2,SA,TNF,TNF_P3C,TNF_PGE2,TPP,TPP_IFNb,TPP_IFNb_IFNg,sLPS,sLPS_IC,sLPS_IFNg,upLPS,upLPS_IC
RNASE3,LOC649260,LOC647666,ELMO2,YPEL4,NA,LOC730432,FCER1A,BCAR3,MGST1,SNRPA1,TXNDC14,SEMA3A,KIAA1199,TBL2,FCAMR,SLC5A6,CLEC4D,GCH1,MAP1LC3A,MPZL1,TREML3,RNF145,SLC16A10,SRGN,LILRB1,TMEM140,SEPW1
SOCS1,MLL5,WDR73,MATK,CD38,NA,FAM44B,C14orf173,PPRC1,HSPC111,MT1E,BOLA3,MAPK13,LOC653066,TPST1,VNN2,SLC1A3,KIAA1949,CSGALNACT1,CRKL,TRIM24,RAB13,ELL,GADD45A,LOC399715,CD38,SESTD1,MMD
TSC22D3,ALKBH8,NXF2B,BTN3A3,APOL3,NA,EGR3,PTRF,DCUN1D3,C10orf2,IGF2R,PTRH2,WIPI1,FTHL2,KIAA0564,PKIB,RSC1A1,NFE2L1,LAD1,ACO1,ATP6V1H,LRCH4,NCK2,ETS2,FTHL11,PLEKHG3,MYBPC3,TEX2
OLAH,RGNEF,KIAA1143,SSPN,RHBDF1,NA,C14orf78,MAL,GART,CCDC109A,SLC22A4,DDX10,PLA2G7,SPEN,GNA12,GNG11,NFKBIE,EFTUD1,AQP12A,MOBKL2C,TREM1,TMEM132A,LRRC38,FTHL8,AGAP3,GBP2,CCL23,PPAP2B
SLC1A3,LOC643913,LOC440292,LOC652616,PSME2,NA,ZNF317,CCL17,FLJ11795,AADACL1,MRPL14,ALDH1A2,ADARB1,REV3L,PSMA6,CD79B,ST14,NCF1C,RCN1,LOC285908,FLJ10996,TNIP3,CDK2,ILDR1,TTC14,KIAA1949,LOC285074,DPP4
SEPP1,LOC730196,TTTY5,HLA-E,MT1G,NA,METTL7A,BCAR3,TNFRSF6B,TPST1,PSMA6,C20orf127,FCHO2,ARID3B,CXXC5,KIAA1199,CD58,MT2A,LOC653778,MT1X,MT1H,RABGEF1,FAM124A,RNF145,NFKBIA,LAT,KYNU,LAMP1
KIF16B,CMYA3,OAS2,TMEM140,MT1E,NA,ADO,HLX,SRGN,TOMM40,PSMA5,XYLB,MPP5,KCNE1L,GREM1,MALT1,LRWD1,PLAGL2,TRIM39,SLAMF7,NAV2,PDE4B,RAB12,ELL2,PRR16,GNA15,DCP1A,RHOBTB3
C10orf128,CNBD1,HSFY1,IFIT3,CD86,NA,TTC9C,ALDH5A1,GCNT3,STIP1,EXOG,FAM86A,CXCR7,SRGN,SLC3A2,ATP6V0E1,BID,SRGN,SYN1,NADK,LOC283050,DENND5A,MAP4K4,FYN,SYCE1,NAMPT,BTG1,IGF2BP3
LOC653631,LOC651167,DYX1C1,LOC730249,HDGF,NA,TSKU,EGLN3,EHF,FAM20C,PDE12,MFSD10,TRAF3IP2,ARHGAP20,SEC61A1,LOC727948,PELO,FTHL12,SBDS,BAZ1B,CA12,TNFRSF6B,NAV1,GLIS3,LOC643011,ANKDD1A,ENO2,LRPAP1
AMY2A,PPFIBP1,TBRG1,CSRNP2,FMNL3,NA,GOLGA8B,HES6,CCL15,MTHFD1L,ETFDH,EMG1,FTH1,NAMPT,PTRH2,HMGB3,TBL2,SLC1A3,NLRP3,SAFB,SLC43A3,CYP27B1,GRASP,RHBDF2,TRAF3IP2,SLC7A11,VNN2,HAMP
BCL2L11,NUDT4P1,LOC389394,PTPN1,NES,NA,UQCRH,CERK,CCDC90A,FGFRL1,HSPC111,MTHFD1L,GADD45B,LOC653506,BID,FTHL2,FAM82A2,SPARC,C17orf58,PTPN1,BCAT1,Mar-03,TRAF1,LAD1,DTX2,C1S,ATG16L2,ITGAE
CD164,LOC653468,KIAA1772,LOC284672,SLC6A12,NA,ASCL2,IRF4,MRPS6,MREG,ZMPSTE24,NOMO2,LOC389422,C3orf59,TM7SF4,SIDT1,ST6GALNAC4,GPR124,SYT11,UBE2L6,DENND5A,KYNU,GSDMB,IL1F9,EMR3,FIS,MTMR3,CRK
TXNIP,NGF,RNASE8,LOC650518,CCDC109A,NA,MUTED,FZD2,ALDH9A1,INO80C,RABGGTB,MREG,CDY2B,PTPN9,TMEM38B,ZNF193,UCHL1,ALOX15B,ADD3,USP13,ETS1,DRAM1,TFPI,ELL,AMPD3,ARID5B,LOC728006,HIST3H2A
TFPI,LOC391555,RTN4RL2,ZNFX1,CALCOCO1,NA,RGS10,CAMK1D,SYN1,CD276,SCOC,PPP1R14B,LOC653962,APH1B,FLJ10081,TTYH3,KIAA0020,PARP3,MYBPC3,TNFAIP6,UQCC,SESTD1,ADAMDEC1,FTHL12,CRAMP1L,GNRH1,MITF,MESDC1
F13A1,LOC729249,AGR3,TIFA,ASCL2,NA,LOC654074,PHF17,SMAD6,TM4SF19,MREG,NIT2,ABCA1,CXCL1,SERPINE2,ARL4C,PSMA5,FYN,LOC400027,USP11,PPP3CC,GK,LOR,SRPK1,LOC286208,PLEKHO1,BBS1,FAM20A
CD7,CCDC16,GDF10,C18orf8,GUCY1A3,NA,NFX1,CCL15,DNASE1L3,FGR,ASB1,FAM86C,CHI3L2,ETS2,KHDRBS3,LOC653506,FICD,TUBE1,LOC650369,KCNE1,C10orf58,NBPF3,PLAGL2,SLC7A11,FTH1,SP140,GADD45G,ETS2
