IgM_VS_IgA_MEMORY	IgA_VS_IgM_MEMORY	IgG_IgA_MEMORY_VS_NAIVE	NAIVE_VS_IgG_IgA_MEMORY	IgM_MEMORY_VS_NAIVE	NAIVE_VS_IgM_MEMORY
VENTX	UBE2NL	UBE2N	YBX3	TUBB	UTRN
VNN1	UCN	UQCRB	ZBTB16	TUBB4B	UXS1
WDFY3	VGLL4	UQCRH	ZNF112	TWF2	VAV3
YBX3	VWF	VIM	ZNF124	TYMP	WWC3
YPEL1	WDR7	VOPP1	ZNF135	USP48	WWOX
ZBTB18	WEE1	WEE1	ZNF136	VAMP1	XKR8
ZBTB39	XKR8	XBP1	ZNF235	VIM	YBX3
ZC3H12A	ZDHHC6	YWHAH	ZNF280A	VOPP1	YY2
ZFY	ZFP37	ZBTB20	ZNF318	WIPI1	ZBTB16
ZNF136	ZNF177	ZBTB32	ZNF350	XBP1	ZHX3
ZNF14	ZNF189	ZBTB38	ZNF37BP	ZBTB20	ZNF235
ZNF350	ZNF480	ZFAND6	ZNF43	ZBTB32	ZNF43
ZNF432	ZNF574	ZMIZ1	ZNF492	ZBTB38	ZW10
ZNF589			ZNF571	ZMIZ1
ZSCAN18			ZNF682
ZXDC
